Comparison,species,genus,family,log2FoldChange,padj,baseMean,direction
Comb_vs_Hive_Reared,Lactobacillus apis,Lactobacillus,Lactobacillaceae,-3.7547031161258317,1.0432654810644243e-7,807.2699499964042,Enriched_in_Treatment
Comb_vs_Hive_Reared,Lactobacillus kullabergensis,Lactobacillus,Lactobacillaceae,-5.46444400180443,1.7878785413281652e-6,376.3094478328025,Enriched_in_Treatment
Comb_vs_Hive_Reared,Bartonella apis,Bartonella,Bartonellaceae,11.225953780963364,2.4772410185720934e-6,755.7942102040552,Enriched_in_Control
Comb_vs_Hive_Reared,Bombilactobacillus mellis,Bombilactobacillus,Lactobacillaceae,-4.478618063205033,7.67341713374997e-6,565.2947772556047,Enriched_in_Treatment
Comb_vs_Hive_Reared,Lonsdalea quercina,Lonsdalea,Pectobacteriaceae,19.84249765097267,7.770910709162472e-5,15.184755521998667,Enriched_in_Control
Comb_vs_Hive_Reared,Parasaccharibacter apium,Parasaccharibacter,Acetobacteraceae,7.142887841061752,4.4726582640289427e-4,53.930709480129316,Enriched_in_Control
Comb_vs_Hive_Reared,Fructobacillus fructosus,Fructobacillus,Leuconostocaceae,6.13162600982683,0.005142244859213738,24.293853541826177,Enriched_in_Control
Comb_vs_Hive_Reared,Frischella perrara,Frischella,Orbaceae,-9.015998447217433,0.0063603895437942025,27.750536256779032,Enriched_in_Treatment
Comb_vs_Hive_Reared,Enterobacter asburiae,Enterobacter,Enterobacteriaceae,11.417510449969718,0.0063603895437942025,193.6864181185849,Enriched_in_Control
Comb_vs_Hive_Reared,Tatumella ptyseos,Tatumella,Erwiniaceae,7.509962060887101,0.012066636168717655,46.75126093187769,Enriched_in_Control
Comb_vs_Hive_Reared,Enterobacter sp. N18-03635,Enterobacter,Enterobacteriaceae,8.220575702560495,0.029807672913361057,21.04496429500849,Enriched_in_Control
Comb_vs_Hive_Reared,Pantoea agglomerans,Pantoea,Erwiniaceae,6.99015738937402,0.032230733056806765,20.787244138768425,Enriched_in_Control
Comb_vs_Hive_Reared,Tyzzerella_3_sp.,Tyzzerella_3,Lachnospiraceae,7.677597182673047,0.03864207305547552,14.443302321076315,Enriched_in_Control
Comb_vs_Hive_Reared,Gilliamella apicola,Gilliamella,Orbaceae,-1.5984411205280542,0.04858864701016879,443.5646402144039,Enriched_in_Treatment
Comb_vs_Control,Lactobacillus apis,Lactobacillus,Lactobacillaceae,-4.017506522059699,1.1462134947903279e-12,807.2699499964042,Enriched_in_Treatment
Comb_vs_Control,Lactobacillus kunkeei,Lactobacillus,Lactobacillaceae,-8.785137714308345,6.021467743371482e-5,35.8463386540114,Enriched_in_Treatment
Comb_vs_Control,Snodgrassella alvi,Snodgrassella,Neisseriaceae,-3.036188541354953,0.004417427004772233,247.09626789489215,Enriched_in_Treatment
Comb_vs_Control,Enterobacter sp. N18-03635,Enterobacter,Enterobacteriaceae,9.205980410477858,0.004417427004772233,21.04496429500849,Enriched_in_Control
Comb_vs_Control,Tyzzerella_3_sp.,Tyzzerella_3,Lachnospiraceae,8.663091850309087,0.006023299462780312,14.443302321076315,Enriched_in_Control
Comb_vs_Control,Enterobacter asburiae,Enterobacter,Enterobacteriaceae,9.474877521904103,0.0066224920269588915,193.6864181185849,Enriched_in_Control
Comb_vs_Control,Frischella perrara,Frischella,Orbaceae,-7.207517481092119,0.01999469808816299,27.750536256779032,Enriched_in_Treatment
