Date of sample collection,Tube Name,Treatments,SAMPLE Tube ID,Total bee guts extracted,DNA extracted Date,Final Elution volume,DNA concentration (ng/uL) Qubit,Amount to send to Plasmidsarus (in uL),DNA needed,Add water,Total volume needed,...13,Sent for Sequencing on 13 Nov 2025,Sent on 18 Nov,Day,Cage,Treatment,Rep,NewSampleName
2025-09-26T00:00:00Z,Day-0 (Rep-1),For baseline data,1,15,2025-10-28T00:00:00Z,40 uL,low,15,NA,NA,NA,NA,SENT,NA,0,1,For baseline data,1,Day  0   For baseline data Rep  1
2025-09-26T00:00:00Z,Day-0 (Rep-2),For baseline data,2,15,2025-10-28T00:00:00Z,40 uL,7.1,15,NA,NA,NA,NA,SENT,NA,0,2,For baseline data,2,Day  0   For baseline data Rep  2
2025-09-26T00:00:00Z,Day-0 (Rep-3),For baseline data,3,15,2025-10-28T00:00:00Z,40 uL,8.9700000000000006,15,NA,NA,NA,NA,SENT,NA,0,3,For baseline data,3,Day  0   For baseline data Rep  3
2025-10-01T00:00:00Z,Day-5 (Cage-1),Control,4,15,2025-10-28T00:00:00Z,40 uL,5.35,15,NA,NA,NA,NA,SENT,NA,5,1,Control,1,Day  5   Control Rep  1
2025-10-01T00:00:00Z,Day-5 (Cage-2),Control,5,15,2025-10-28T00:00:00Z,40 uL,9.4499999999999993,15,NA,NA,NA,NA,NA,SENT,5,2,Control,2,Day  5   Control Rep  2
2025-10-01T00:00:00Z,Day-5 (Cage-3),Control,6,15,2025-10-28T00:00:00Z,40 uL,5.3,15,NA,NA,NA,NA,NA,SENT,5,3,Control,3,Day  5   Control Rep  3
2025-10-01T00:00:00Z,Day-5 (Cage-4),Tetracycline-treated,7,15,2025-10-28T00:00:00Z,40 uL,2.95,15,NA,NA,NA,NA,NA,SENT,5,4,Tetracycline-treated,1,Day  5   Tetracycline-treated Rep  1
2025-10-01T00:00:00Z,Day-5 (Cage-5),Tetracycline-treated,8,15,2025-10-28T00:00:00Z,40 uL,6.14,15,NA,NA,NA,NA,NA,SENT,5,5,Tetracycline-treated,2,Day  5   Tetracycline-treated Rep  2
2025-10-01T00:00:00Z,Day-5 (Cage-6),Tetracycline-treated,9,15,2025-10-28T00:00:00Z,40 uL,15.8,xx,9.493670886075948,5.5063291139240516,15,NA,SENT,NA,5,6,Tetracycline-treated,3,Day  5   Tetracycline-treated Rep  3
2025-10-01T00:00:00Z,Day-5 (Cage-7),Terra-Pro-treated,10,15,2025-10-28T00:00:00Z,40 uL,9.68,15,NA,NA,NA,NA,NA,SENT,5,7,Terra-Pro-treated,1,Day  5   Terra-Pro-treated Rep  1
2025-10-01T00:00:00Z,Day-5 (Cage-8),Terra-Pro-treated,11,15,2025-10-28T00:00:00Z,40 uL,5.59,15,NA,NA,NA,NA,NA,SENT,5,8,Terra-Pro-treated,2,Day  5   Terra-Pro-treated Rep  2
2025-10-01T00:00:00Z,Day-5 (Cage-9),Terra-Pro-treated,12,15,2025-10-28T00:00:00Z,40 uL,8.6300000000000008,15,NA,NA,NA,NA,NA,SENT,5,9,Terra-Pro-treated,3,Day  5   Terra-Pro-treated Rep  3
2025-10-01T00:00:00Z,Day-5 (Cage-10),ASx-lysate-treated,13,15,2025-10-28T00:00:00Z,40 uL,5.87,15,NA,NA,NA,NA,NA,SENT,5,10,ASx-lysate-treated,1,Day  5   ASx-lysate-treated Rep  1
2025-10-01T00:00:00Z,Day-5 (Cage-11),ASx-lysate-treated,14,15,2025-10-28T00:00:00Z,40 uL,3.62,15,NA,NA,NA,NA,NA,SENT,5,11,ASx-lysate-treated,2,Day  5   ASx-lysate-treated Rep  2
2025-10-01T00:00:00Z,Day-5 (Cage-12),ASx-lysate-treated,15,15,2025-10-29T00:00:00Z,40 uL,8.17,15,NA,NA,NA,NA,NA,SENT,5,12,ASx-lysate-treated,3,Day  5   ASx-lysate-treated Rep  3
2025-10-07T00:00:00Z,Day-11 (Cage-1),Control,16,15,2025-10-29T00:00:00Z,40 uL,5.0199999999999996,15,NA,NA,NA,NA,NA,SENT,11,1,Control,1,Day  11   Control Rep  1
2025-10-07T00:00:00Z,Day-11 (Cage-2),Control,17,15,2025-10-29T00:00:00Z,40 uL,7.11,15,NA,NA,NA,NA,NA,SENT,11,2,Control,2,Day  11   Control Rep  2
2025-10-07T00:00:00Z,Day-11 (Cage-3),Control,18,15,2025-10-29T00:00:00Z,40 uL,9.2200000000000006,15,NA,NA,NA,NA,NA,SENT,11,3,Control,3,Day  11   Control Rep  3
