total_num_reads,total_num_bases,read_n50,longest_read,shortest_read,mean_read_length,median_length,mean_quality,median_quality,OriginalSampleName,TubeID,NewSampleName,Day,Treatment,Rep
4457,5969896,1454,2996,400,1339,1452,15.73444,14.812113,45VLC3_1_rerun_1_5,5,Day  5   Control Rep  2,5,Control,2
4859,7083727,1486,2541,401,1457,1486,22.016438,22.174934,L2YL27_1_9,9,Day  5   Tetracycline-treated Rep  3,5,Tetracycline-treated,3
4879,7099315,1486,2760,407,1455,1485,21.929281,22.162758,L2YL27_2_20,20,Day  11   Tetracycline-treated Rep  2,11,Tetracycline-treated,2
4887,7026419,1484,2932,409,1437,1484,21.914316,22.03468,L2YL27_3_23,23,Day  11   Terra-Pro-treated Rep  2,11,Terra-Pro-treated,2
4884,6912300,1460,2778,400,1415,1457,21.737452,21.94046,L2YL27_4_24,24,Day  11   Terra-Pro-treated Rep  3,11,Terra-Pro-treated,3
810,1172092,1460,2747,523,1447,1460,21.92908,22.075453,L2YL27_5_1,1,Day  0   For baseline data Rep  1,0,For baseline data,1
4976,7276536,1486,2425,428,1462,1486,22.126589,22.19366,L2YL27_6_2,2,Day  0   For baseline data Rep  2,0,For baseline data,2
4867,7135148,1486,2758,402,1466,1485,21.948657999999998,22.11195,L2YL27_7_3,3,Day  0   For baseline data Rep  3,0,For baseline data,3
4891,7084223,1483,2995,406,1448,1483,22.001976,22.201935,L2YL27_8_4,4,Day  5   Control Rep  1,5,Control,1
4963,7209626,1483,2976,406,1452,1482,21.54276,21.760815,XQG5WG_10_Sample_ID_15,15,Day  5   ASx-lysate-treated Rep  3,5,ASx-lysate-treated,3
4949,7109064,1464,2453,416,1436,1462,21.503283,21.728962,XQG5WG_11_Sample_ID_16,16,Day  11   Control Rep  1,11,Control,1
4973,7169569,1467,2597,410,1441,1465,21.412464,21.575727,XQG5WG_12_Sample_ID_17,17,Day  11   Control Rep  2,11,Control,2
4918,7088149,1484,2684,411,1441,1483,21.40253,21.572529,XQG5WG_13_Sample_ID_18,18,Day  11   Control Rep  3,11,Control,3
4955,7138358,1484,2823,435,1440,1483,21.618488,21.799356,XQG5WG_14_Sample_ID_19,19,Day  11   Tetracycline-treated Rep  1,11,Tetracycline-treated,1
4945,7082861,1461,2880,401,1432,1460,21.360905,21.510597,XQG5WG_15_Sample_ID_21,21,Day  11   Tetracycline-treated Rep  3,11,Tetracycline-treated,3
4976,7181266,1483,2419,410,1443,1482,21.466406,21.66481,XQG5WG_16_Sample_ID_22,22,Day  11   Terra-Pro-treated Rep  1,11,Terra-Pro-treated,1
4974,7242692,1484,2996,401,1456,1484,21.458168,21.614416,XQG5WG_17_Sample_ID_25,25,Day  11   ASx-lysate-treated Rep  1,11,ASx-lysate-treated,1
4947,7213906,1486,2993,402,1458,1486,21.349098,21.510202,XQG5WG_18_Sample_ID_26,26,Day  11   ASx-lysate-treated Rep  2,11,ASx-lysate-treated,2
4981,7240512,1484,2613,429,1453,1484,21.456816,21.676685,XQG5WG_19_Sample_ID_27,27,Day  11   ASx-lysate-treated Rep  3,11,ASx-lysate-treated,3
4970,7208364,1477,2205,400,1450,1474,21.537724,21.750711,XQG5WG_2_Sample_ID_6,6,Day  5   Control Rep  3,5,Control,3
4984,7169101,1472,1584,407,1438,1467,21.319624,21.536114,XQG5WG_20_Sample_ID_28,28,Day  17   Control Rep  1,17,Control,1
4976,7132085,1461,2622,412,1433,1460,21.466452,21.58515,XQG5WG_21_Sample_ID_29,29,Day  17   Control Rep  3,17,Control,3
